File List			Date:   8.11.1918    Time:  03:38

File Name: D:\ESR-DATA\PRAKTI~1\WISE1819\TEAM3~1\TAG1~1\sp01.spc

 Data Point  Value[G]     Intensity
     744    3372.3636     1.6500e+001
     745    3372.4125     1.0500e+001
     746    3372.4614     2.0000e+001
     747    3372.5103     1.4000e+001
     748    3372.5591     1.7000e+001
     749    3372.6080     9.5000e+000
     750    3372.6569     1.6000e+001
     751    3372.7058     2.4000e+001
     752    3372.7546     1.9000e+001
     753    3372.8035     3.2500e+001
     754    3372.8524     1.6500e+001
     755    3372.9013     1.1000e+001
     756    3372.9501     6.0000e+000
     757    3372.9990     1.1000e+001
     758    3373.0479     1.2500e+001
     759    3373.0968     6.0000e+000
     760    3373.1457     0.0000e+000
